TLD,Indexed URLs,
BID,4540000,
BJ,4530000,
JE,4490000,
GS,4420000,
GLOBAL,4390000,
LOL,4370000,
TUBE,4360000,
LC,4350000,
BM,4300000,
NINJA,4280000,
BN,4260000,
REVIEW,4220000,
BI,4190000,
HT,4140000,
SM,4090000,
AX,4020000,
PM,4010000,
INK,3990000,
VC,3970000,
SO,3950000,
TEL,3910000,
CW,3890000,
UNO,3880000,
CASA,3850000,
NETWORK,3780000,
BUZZ,3700000,
MW,3700000,
VU,3700000,
GUIDE,3680000,
BF,3660000,
MQ,3630000,
SEX,3630000,
SR,3630000,
ZM,3630000,
ONL,3620000,
VET,3610000,
BW,3600000,
JM,3600000,
BAR,3590000,
GP,3590000,
PF,3520000,
NE,3510000,
VA,3490000,
BT,3480000,
SD,3420000,
EXPERT,3380000,
KIM,3360000,
AFRICA,3340000,
MR,3320000,
GI,3310000,
TG,3250000,
CG,3230000,
LS,3210000,
SB,3150000,
CK,2990000,
GF,2990000,
YT,2910000,
DM,2870000,
REALTOR,2840000,
AW,2820000,
SZ,2810000,
LONDON,2760000,
ET,2720000,
KY,2660000,
COOL,2620000,
LR,2500000,
BB,2400000,
SUPPORT,2260000,
TAIPEI,2250000,
SL,2230000,
COMPANY,2210000,
DJ,2200000,
SOCIAL,2170000,
GM,2150000,
XN--MGBERP4A5D4AR,2150000,
LOVE,2140000,
CYMRU,2000000,
DIRECTORY,1990000,
GAMES,1960000,
BIO,1950000,
WANG,1940000,
WATCH,1930000,
CAFE,1920000,
CARE,1880000,
SUPPLY,1860000,
OOO,1850000,
GROUP,1840000,
TOOLS,1840000,
SX,1810000,
REST,1790000,
LAW,1740000,
WALES,1740000,
MOVIE,1720000,
MONSTER,1710000,
STUDIO,1710000,
WTF,1710000,
DIRECT,1630000,
EDUCATION,1630000,
YE,1600000,
FIT,1580000,
EVENTS,1570000,
BERLIN,1560000,
SERVICES,1550000,
CHURCH,1530000,
PN,1510000,
TC,1460000,
TF,1460000,
NYC,1440000,
TOWN,1440000,
XN--90AIS,1440000,
XN--J1AMH,1410000,
IST,1380000,
BET,1360000,
SALE,1360000,
SPORT,1280000,
BRUSSELS,1270000,
MOSCOW,1270000,
MENU,1260000,
EXPRESS,1250000,
VLAANDEREN,1250000,
BLUE,1230000,
CARS,1220000,
DEALS,1210000,
HOST,1210000,
ACADEMY,1190000,
TRAINING,1180000,
VI,1180000,
MEN,1170000,
TEAM,1170000,
CANON,1160000,
LECLERC,1160000,
SOLUTIONS,1160000,
COMMUNITY,1130000,
LAND,1130000,
BASKETBALL,1120000,
GALLERY,1120000,
SEXY,1120000,
CODES,1090000,
SWISS,1090000,
CAMP,1060000,
SOFTWARE,1050000,
AUCTION,1040000,
NRW,1030000,
STYLE,1020000,
COFFEE,1010000,
PARIS,995000,
GRAPHICS,957000,
HOLIDAY,928000,
WINE,915000,
DOG,896000,
DATING,892000,
RADIO,889000,
PET,867000,
PARTS,864000,
INTERNATIONAL,858000,
XIN,848000,
BIKE,840000,
SCHOOL,822000,
STREAM,820000,
FRL,817000,
TOURS,816000,
AUDIO,799000,
LEGAL,798000,
CHAT,795000,
XN--WGBL6A,787000,
PHOTO,771000,
SURF,771000,
PINK,762000,
XN--P1ACF,748000,
KIWI,747000,
DOCTOR,717000,
MUSEUM,705000,
SCIENCE,699000,
FOOTBALL,694000,
XN--80ASEHDB,685000,
FAIL,683000,
MODA,678000,
PARTY,678000,
RIP,678000,
FAN,666000,
LOAN,650000,
WORKS,647000,
BUSINESS,646000,
BAYERN,641000,
MONEY,638000,
XN--9DBQ2A,607000,
SHOW,591000,
HOUSE,590000,
FUTBOL,582000,
KRD,575000,
FYI,574000,
GOLD,565000,
NAGOYA,565000,
QUEBEC,556000,
XN--3E0B707E,553000,
REVIEWS,551000,
FARM,549000,
PHOTOGRAPHY,543000,
PHOTOS,540000,
XN--TCKWE,512000,
CAB,505000,
ARMY,501000,
HAMBURG,498000,
AMSTERDAM,495000,
PICTURES,474000,
CASH,467000,
ADULT,462000,
