unknown_cluster_id,known_cluster_id,actor_label,weighted_similarity,base_similarity,evidence_features,confidence_0_1,confidence_percent,decision
1,18,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,19,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,20,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,21,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,22,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,23,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,24,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,25,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,26,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,27,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,28,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,29,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,30,Laundry Bear,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,31,TAG-144,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,32,Unknown malware,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,33,Unknown malware,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,34,Unknown malware,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
